,Class Index,Confidence Mean,Confidence Std,Frequency,Class Name
0,427,0.999935507774353,0.0,1,"barrel, cask"
1,528,0.9996531009674072,0.0,1,"dial telephone, dial phone"
2,599,0.9984958171844482,0.0,1,honeycomb
3,429,0.9978678226470948,0.0,1,baseball
4,100,0.997462034225464,0.0,1,"black swan, Cygnus atratus"
5,915,0.9973831474781036,0.0002784430980682928,2,yurt
6,84,0.9970974922180176,0.0,1,peacock
7,608,0.9964424967765808,0.0,1,"jean, blue jean, denim"
8,559,0.9941463470458984,0.0,1,folding chair
9,991,0.9940972328186036,0.0,1,coral fungus
10,90,0.9930053353309632,0.0,1,lorikeet
11,984,0.9916836619377136,0.0038890119319293184,3,rapeseed
12,476,0.9894063472747804,0.005600690841674805,2,"carousel, carrousel, merry-go-round, roundabout, whirligig"
13,433,0.9892393350601196,0.0,1,"bathing cap, swimming cap"
14,629,0.9885496497154236,0.0,1,"lipstick, lip rouge"
15,49,0.9858335852622986,0.0,1,"African crocodile, Nile crocodile, Crocodylus niloticus"
16,606,0.9851889610290528,0.0,1,"iron, smoothing iron"
17,146,0.9823092818260192,0.0,1,"albatross, mollymawk"
18,321,0.97944176197052,0.014917671680450384,2,admiral
19,335,0.9721132218837738,0.01569059491157543,2,"fox squirrel, eastern fox squirrel, Sciurus niger"
20,450,0.9711802005767822,0.0,1,"bobsled, bobsleigh, bob"
21,572,0.9687395095825196,0.0,1,goblet
22,971,0.9668069084485372,0.030076213925736988,3,bubble
23,945,0.9648481607437134,0.0,1,bell pepper
24,544,0.9647104740142822,0.0,1,Dutch oven
25,32,0.9623047709465028,0.0,1,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
26,746,0.9619471430778503,0.028826984495509432,3,"puck, hockey puck"
27,867,0.961056113243103,0.0,1,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
28,531,0.9593150019645692,0.0,1,digital watch
29,936,0.9588451385498048,0.0,1,head cabbage
30,9,0.9570229053497314,0.04126220941543579,2,"ostrich, Struthio camelus"
31,617,0.9544844627380372,0.0,1,"lab coat, laboratory coat"
32,861,0.9497596621513368,0.0,1,toilet seat
33,425,0.9497469663619995,0.027247250080108698,2,barn
34,486,0.9494678378105164,0.0,1,"cello, violoncello"
35,104,0.9489355087280272,0.0,1,"wallaby, brush kangaroo"
36,251,0.9475193619728088,0.0,1,"dalmatian, coach dog, carriage dog"
37,504,0.9462873935699464,0.0,1,coffee mug
38,888,0.9460956255594889,0.03780544216682569,3,viaduct
39,399,0.946092426776886,0.0,1,abaya
40,341,0.9454697966575624,0.0,1,"hog, pig, grunter, squealer, Sus scrofa"
41,832,0.9438849290211996,0.07324505265996706,3,"stupa, tope"
42,338,0.9426392316818236,0.0,1,"guinea pig, Cavia cobaya"
43,821,0.942047119140625,0.024096305905740092,5,steel arch bridge
44,679,0.9416172504425048,0.0,1,necklace
45,705,0.940899670124054,0.02853709459304804,2,"passenger car, coach, carriage"
46,850,0.939548134803772,0.0,1,"teddy, teddy bear"
47,520,0.9388773441314696,0.0,1,"crib, cot"
48,763,0.9360048472881317,0.010462790727615412,2,"revolver, six-gun, six-shooter"
49,510,0.9346286952495575,0.017340868711471502,2,"container ship, containership, container vessel"
50,51,0.9334495663642884,0.0,1,triceratops
51,779,0.9320691327253977,0.1106492158938489,6,school bus
52,614,0.9299853444099426,0.0,1,kimono
53,300,0.92978698015213,0.0,1,tiger beetle
54,150,0.9296866059303284,0.0,1,sea lion
55,525,0.9279608726501465,0.029970049858093206,2,"dam, dike, dyke"
56,16,0.9234600663185121,0.0,1,bulbul
57,94,0.9228852093219758,0.01523318886756897,2,hummingbird
58,844,0.9190829396247864,0.0,1,"switch, electric switch, electrical switch"
59,863,0.9185180068016052,0.0,1,totem pole
60,869,0.9182337522506714,0.0,1,trench coat
61,566,0.9166812896728516,0.0,1,"French horn, horn"
62,610,0.9157832264900208,0.0,1,"jersey, T-shirt, tee shirt"
63,347,0.911967138449351,0.051496236299284695,3,bison
64,533,0.9092615842819214,0.0,1,"dishrag, dishcloth"
65,437,0.9054063757260641,0.0901578029100583,3,"beacon, lighthouse, beacon light, pharos"
66,340,0.9041905403137207,0.020045876502990723,2,zebra
67,79,0.903578519821167,0.0,1,centipede
68,687,0.9034155607223512,0.0,1,"organ, pipe organ"
69,37,0.9020076394081116,0.0,1,"box turtle, box tortoise"
70,307,0.9003718495368958,0.0,1,weevil
