,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9954219460487366
1,0.5,1.0,1.0,0.9661779999732971
2,1.0,1.0,1.0,0.9071882963180542
3,2.0,0.9487179487179487,1.0,0.706933856010437
4,4.0,0.8717948717948718,0.9487179487179487,0.41679078340530396
5,10.0,0.7435897435897436,0.7948717948717948,0.11341536045074463
6,20.0,0.5384615384615384,0.7435897435897436,0.0445546917617321
7,30.0,0.46153846153846156,0.6410256410256411,0.03567853942513466
8,40.0,0.3076923076923077,0.5897435897435898,0.02055305615067482
9,50.0,0.41025641025641024,0.5641025641025641,0.01754945144057274
10,60.0,0.38461538461538464,0.5897435897435898,0.013019795529544353
