Sample,Epsilon 0,Epsilon 1,Epsilon 2,Epsilon 4,Epsilon 8,Epsilon 16,Epsilon 32
0,0,0.32284459471702576,0.0,0.0,0.0,0.013546989299356937,0.0
2,0,0.0,0.0,0.0,0.06920896470546722,0.07940473407506943,0.0
3,0,0.0,0.0,0.0,0.0,0.0,0.0067908582277596
4,0,0.0,0.0,0.09438540041446686,0.031139271333813667,0.02087673358619213,0.04195458069443703
5,0,0.0,0.0,0.0,0.021775616332888603,0.0,0.006440653000026941
6,0,0.0,0.0,0.0,0.013868196867406368,0.0,0.018353821709752083
10,0,0.0,0.0,0.0,0.08577661961317062,0.03346199542284012,0.026505576446652412
11,0,0.0,0.0,0.0,0.0,0.02359883487224579,0.01193669717758894
12,0,0.0,0.0,0.0,0.1620413213968277,0.010614924132823944,0.009599065408110619
14,0,0.0,0.0,0.0,0.09186878800392151,0.04025274142622948,0.05242633447051048
15,0,0.11278025805950165,0.2685779929161072,0.10822921246290207,0.020412079989910126,0.017018448561429977,0.020031822845339775
16,0,0.11736166477203369,0.2615959942340851,0.10664248466491699,0.046276871114969254,0.04237321764230728,0.022845115512609482
17,0,0.0,0.0,0.0,0.025787467136979103,0.0,0.011573621071875095
19,0,0.0,0.0,0.0,0.0,0.01412000972777605,0.0
21,0,0.0,0.0,0.0,0.0,0.026967089623212814,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.08386972546577454,0.10588598251342773,0.05501341447234154,0.22255191206932068,0.06612279266119003,0.014247453771531582
25,0,0.0,0.0,0.0,0.0,0.020116440951824188,0.005442749243229628
26,0,0.0,0.0,0.024216428399086,0.059107836335897446,0.009996047243475914,0.011519153602421284
27,0,0.0,0.34754419326782227,0.0,0.13237619400024414,0.01753929629921913,0.015029172413051128
28,0,0.0,0.0,0.0,0.032851241528987885,0.011715258471667767,0.06695190817117691
29,0,0.0,0.0,0.0,0.008827653713524342,0.008322826586663723,0.006772857625037432
31,0,0.0,0.0,0.0,0.03339851647615433,0.04179250821471214,0.035744719207286835
32,0,0.0,0.0,0.0,0.0,0.018882887437939644,0.0
33,0,0.0,0.0,0.0,0.03173745051026344,0.06726288050413132,0.0
34,0,0.0,0.0,0.0,0.0,0.05189375951886177,0.006481092888861895
36,0,0.0,0.21419700980186462,0.0,0.2038722187280655,0.03741057962179184,0.032976794987916946
37,0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.0,0.0,0.12753547728061676,0.04275963827967644,0.0699198767542839,0.0202639102935791
40,0,0.0,0.0,0.0,0.0,0.13910536468029022,0.02360513247549534
41,0,0.0,0.12331770360469818,0.0717908963561058,0.01885305717587471,0.00905824638903141,0.008578128181397915
42,0,0.0,0.0,0.027998298406600952,0.21110688149929047,0.015716878697276115,0.008837223052978516
43,0,0.0,0.0,0.019977325573563576,0.02717260643839836,0.0,0.009082378819584846
44,0,0.0,0.0,0.0,0.0,0.0,0.020715991035103798
45,0,0.0,0.03497478365898132,0.0,0.0,0.008832360617816448,0.007238234393298626
46,0,0.0,0.0,0.0,0.009106004610657692,0.0,0.01624174229800701
47,0,0.0,0.0,0.0,0.02429407462477684,0.026384087279438972,0.022838376462459564
50,0,0.0,0.0,0.10824494063854218,0.0,0.008020271547138691,0.004841981455683708
51,0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,0.0,0.0,0.0,0.0,0.0,0.02582709677517414
53,0,0.14272832870483398,0.10588163137435913,0.038157857954502106,0.11911122500896454,0.18250349164009094,0.032943107187747955
54,0,0.0,0.24545657634735107,0.0,0.19131208956241608,0.06883130967617035,0.009446379728615284
57,0,0.041924335062503815,0.027014149352908134,0.01666104979813099,0.013385848142206669,0.02686212956905365,0.0129875298589468
58,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0,0.0,0.0,0.0,0.0,0.0,0.0
61,0,0.0,0.21084876358509064,0.04476778581738472,0.010393837466835976,0.04584214836359024,0.01035553589463234
62,0,0.0,0.0,0.0,0.0,0.019061988219618797,0.0
63,0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,0.0,0.0,0.0,0.023676520213484764,0.017376787960529327,0.008950291201472282
66,0,0.0,0.0,0.0,0.0,0.0,0.009019963443279266
67,0,0.0,0.0,0.0,0.0,0.03654085844755173,0.01224671769887209
68,0,0.0,0.21987564861774445,0.0,0.0,0.0,0.008356056176126003
69,0,0.08882708102464676,0.060416899621486664,0.04179535433650017,0.018837766721844673,0.017096953466534615,0.01283487118780613
70,0,0.20079796016216278,0.13552850484848022,0.14479409158229828,0.1525314301252365,0.026088237762451172,0.02022428996860981
71,0,0.0,0.0,0.054378729313611984,0.033342693001031876,0.02111181430518627,0.011701044626533985
72,0,0.0,0.0,0.0,0.1668318808078766,0.0,0.0
73,0,0.0,0.0,0.0,0.0,0.015400146134197712,0.0
75,0,0.0,0.0,0.35674411058425903,0.11071015149354935,0.0,0.04057493060827255
76,0,0.0,0.0,0.10924002528190613,0.10637883096933365,0.0220952108502388,0.01465002354234457
77,0,0.0,0.0,0.018002083525061607,0.0,0.0,0.0
78,0,0.0,0.0,0.0,0.0,0.024906130507588387,0.0
79,0,0.0,0.0,0.0,0.0,0.02269851416349411,0.011485645547509193
80,0,0.0,0.0,0.0,0.017946913838386536,0.01408868283033371,0.012350985780358315
81,0,0.0,0.0,0.0,0.06760533899068832,0.0242344718426466,0.006548616569489241
82,0,0.0,0.0,0.0,0.023192182183265686,0.0,0.010887796059250832
83,0,0.030232718214392662,0.03802251070737839,0.0456572100520134,0.07423155754804611,0.015968548133969307,0.027666112408041954
84,0,0.0,0.0,0.0,0.0406978540122509,0.03218771517276764,0.03754906728863716
85,0,0.0,0.0,0.0,0.0,0.033816784620285034,0.0
86,0,0.0,0.0,0.18566907942295074,0.0767892450094223,0.0,0.017551235854625702
87,0,0.0,0.0,0.0765039324760437,0.0,0.0,0.03388598561286926
88,0,0.0,0.0,0.0,0.0,0.0,0.0
89,0,0.0,0.0,0.0696084201335907,0.03194102272391319,0.0,0.00977925956249237
91,0,0.0,0.0,0.0,0.0,0.03599165752530098,0.0
92,0,0.17491747438907623,0.09416131675243378,0.05786024034023285,0.02638377621769905,0.08728538453578949,0.01622232049703598
93,0,0.0,0.0,0.0,0.0,0.057474058121442795,0.0
94,0,0.0,0.0,0.0,0.0,0.0,0.0
95,0,0.0,0.0,0.0,0.08228267729282379,0.014068154618144035,0.01432473212480545
96,0,0.0,0.0,0.0,0.0,0.0,0.005633844528347254
