,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.8777841329574585
1,0.5,0.9710144927536232,1.0,0.6749531626701355
2,1.0,0.9565217391304348,1.0,0.5796166062355042
3,2.0,0.8840579710144928,0.9710144927536232,0.36748644709587097
4,4.0,0.7681159420289855,0.9130434782608695,0.18627062439918518
5,10.0,0.463768115942029,0.6811594202898551,0.07197704166173935
6,20.0,0.34782608695652173,0.6666666666666666,0.03226484730839729
7,30.0,0.3333333333333333,0.5652173913043478,0.024248875677585602
8,40.0,0.2318840579710145,0.4927536231884058,0.016492996364831924
9,50.0,0.2753623188405797,0.43478260869565216,0.014868821017444134
10,60.0,0.18840579710144928,0.4057971014492754,0.012355937622487545
