,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.5083109140396118
1,0.1,0.7419354838709677,1.0,0.2620992958545685
2,0.2,0.3935483870967742,0.9354838709677419,0.19006572663784027
3,0.3,0.2064516129032258,0.7419354838709677,0.16282176971435547
4,0.4,0.11612903225806452,0.5483870967741935,0.1492352932691574
5,0.5,0.09032258064516129,0.4129032258064516,0.1421906054019928
6,0.7,0.07096774193548387,0.3096774193548387,0.13349582254886627
7,1.0,0.025806451612903226,0.2064516129032258,0.13004381954669952
8,2.0,0.012903225806451613,0.1032258064516129,0.12982873618602753
9,4.0,0.012903225806451613,0.07741935483870968,0.12668420374393463
10,10.0,0.01935483870967742,0.08387096774193549,0.14354702830314636
11,20.0,0.03225806451612903,0.13548387096774195,0.16251060366630554
12,30.0,0.025806451612903226,0.12903225806451613,0.17490869760513306
13,40.0,0.01935483870967742,0.09032258064516129,0.20259253680706024
14,50.0,0.012903225806451613,0.07741935483870968,0.23744064569473267
15,60.0,0.025806451612903226,0.05161290322580645,0.28982871770858765
