,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.8780299425125122
1,0.5,0.6231884057971014,0.855072463768116,0.21264751255512238
2,1.0,0.08695652173913043,0.391304347826087,0.12367020547389984
3,2.0,0.014492753623188406,0.028985507246376812,0.11991448700428009
4,4.0,0.0,0.0,0.20440149307250977
5,10.0,0.0,0.0,0.4383823871612549
6,20.0,0.0,0.0,0.5696744322776794
7,30.0,0.0,0.0,0.6011741161346436
8,40.0,0.0,0.0,0.6631496548652649
9,50.0,0.0,0.0,0.684195339679718
10,60.0,0.0,0.0,0.7176478505134583
