,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9262793660163879
1,0.5,0.6857142857142857,0.8952380952380953,0.25270184874534607
2,1.0,0.18095238095238095,0.45714285714285713,0.1160682961344719
3,2.0,0.05714285714285714,0.0761904761904762,0.12652015686035156
4,4.0,0.009523809523809525,0.01904761904761905,0.20874138176441193
5,10.0,0.0,0.0,0.4426216781139374
6,20.0,0.0,0.0,0.5823104977607727
7,30.0,0.0,0.0,0.6597776412963867
8,40.0,0.0,0.0,0.6746723651885986
9,50.0,0.0,0.0,0.6689675450325012
10,60.0,0.0,0.0,0.7043220400810242
