,top1,top5,conf
0,1,1,0.5215273499488831
1,0,1,0.23014475405216217
2,1,1,0.8461676239967346
3,1,1,0.9941463470458984
4,1,1,0.6026452779769897
5,1,1,0.8125738501548767
6,1,1,0.8629717230796814
7,0,1,0.1874680519104004
8,0,1,0.11511708796024323
9,0,1,0.29805633425712585
10,1,1,0.9227432608604431
11,1,1,0.9971047043800354
12,1,1,0.8348791599273682
13,0,1,0.2327595055103302
14,1,1,0.3970853388309479
15,1,1,0.2746365964412689
16,1,1,0.46931707859039307
17,1,1,0.9035265445709229
18,0,0,0.0708703100681305
19,1,1,0.7060351371765137
20,0,1,0.40811336040496826
21,1,1,0.30771687626838684
22,1,1,0.8803492784500122
23,0,1,0.0799851194024086
24,1,1,0.550329327583313
25,1,1,0.82981276512146
26,1,1,0.6004757881164551
27,1,1,0.9950070381164551
28,1,1,0.8966822624206543
29,1,1,0.9566709995269775
30,0,1,0.19410140812397003
31,1,1,0.9475193619728088
32,1,1,0.9388773441314697
33,1,1,0.5767325162887573
34,1,1,0.32434767484664917
35,0,1,0.5108878016471863
36,1,1,0.6222060322761536
37,1,1,0.5067251324653625
38,0,0,0.07346747070550919
39,1,1,0.7475200295448303
