,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9768101572990417
1,0.1,1.0,1.0,0.9131547808647156
2,0.2,0.9928057553956835,1.0,0.7947852611541748
3,0.3,0.9784172661870504,0.9928057553956835,0.6674955487251282
4,0.4,0.9568345323741008,0.9784172661870504,0.559370219707489
5,0.5,0.8776978417266187,0.9712230215827338,0.4751192331314087
6,0.7,0.7841726618705036,0.9424460431654677,0.3623287081718445
7,1.0,0.6618705035971223,0.8561151079136691,0.26969367265701294
8,2.0,0.4892086330935252,0.6187050359712231,0.17718130350112915
9,4.0,0.3669064748201439,0.5467625899280576,0.16512976586818695
10,10.0,0.3381294964028777,0.5251798561151079,0.21005435287952423
11,20.0,0.302158273381295,0.5035971223021583,0.2598538398742676
12,30.0,0.2446043165467626,0.41007194244604317,0.2503698170185089
13,40.0,0.11510791366906475,0.34532374100719426,0.26682236790657043
14,50.0,0.07194244604316546,0.18705035971223022,0.30263301730155945
15,60.0,0.04316546762589928,0.11510791366906475,0.3259167969226837
