,top1,top5,conf
0,0,1,0.31685972213745117
1,0,0,0.05674163997173309
2,1,1,0.7058732509613037
3,1,1,0.8804064989089966
4,1,1,0.4722602665424347
5,1,1,0.2533440589904785
6,1,1,0.527789831161499
7,0,1,0.2592090666294098
8,0,0,0.11722823977470398
9,1,1,0.2605070173740387
10,1,1,0.8400207161903381
11,1,1,0.9741998314857483
12,1,1,0.6153422594070435
13,0,1,0.09692318737506866
14,1,1,0.12718510627746582
15,0,1,0.05247877910733223
16,0,1,0.10740875452756882
17,1,1,0.6085941791534424
18,0,0,0.0755356028676033
19,1,1,0.7153171896934509
20,0,1,0.20591741800308228
21,1,1,0.5187782049179077
22,1,1,0.7666457891464233
23,1,1,0.041032396256923676
24,1,1,0.13117049634456635
25,1,1,0.21829372644424438
26,1,1,0.14317014813423157
27,1,1,0.6614888310432434
28,1,1,0.7762753367424011
29,1,1,0.5866361856460571
30,0,0,0.18716289103031158
31,1,1,0.6606414914131165
32,1,1,0.8612944483757019
33,1,1,0.5023138523101807
34,1,1,0.5313524603843689
35,0,1,0.28749051690101624
36,1,1,0.28594207763671875
37,1,1,0.32834601402282715
38,0,0,0.04134823754429817
39,1,1,0.323386549949646
40,1,1,0.44450274109840393
41,1,1,0.30386602878570557
42,1,1,0.0860864445567131
43,1,1,0.45150133967399597
44,1,1,0.7793959975242615
45,1,1,0.05371345579624176
46,1,1,0.32420796155929565
47,1,1,0.46533969044685364
48,0,1,0.11472328752279282
49,0,1,0.19434881210327148
50,1,1,0.41599804162979126
51,1,1,0.7765309810638428
52,1,1,0.6705753803253174
53,0,1,0.3866626024246216
54,1,1,0.4478372037410736
55,0,1,0.2138160616159439
56,0,0,0.8375954627990723
57,0,1,0.043636005371809006
58,1,1,0.6635096073150635
59,0,1,0.3166520893573761
60,1,1,0.9671457409858704
61,1,1,0.1332363784313202
62,1,1,0.5319937467575073
63,1,1,0.20079605281352997
64,0,1,0.17218144237995148
65,1,1,0.37468603253364563
66,1,1,0.4084516763687134
67,1,1,0.5667955875396729
68,1,1,0.48102763295173645
69,0,1,0.12112943828105927
70,0,1,0.10420186072587967
71,1,1,0.15942688286304474
72,1,1,0.7427113056182861
73,1,1,0.45213836431503296
74,0,1,0.22655895352363586
75,1,1,0.7732896208763123
76,1,1,0.801014244556427
77,1,1,0.19141016900539398
78,1,1,0.940096914768219
79,1,1,0.7421953082084656
80,1,1,0.48039525747299194
81,1,1,0.3412179946899414
82,1,1,0.464916855096817
83,0,1,0.030278941616415977
84,1,1,0.8683143854141235
85,1,1,0.6774182915687561
86,1,1,0.25623342394828796
87,1,1,0.3418620228767395
88,1,1,0.8309723734855652
89,1,1,0.17903076112270355
90,0,0,0.07955256849527359
91,1,1,0.479056179523468
92,0,1,0.23356735706329346
93,1,1,0.15163660049438477
94,1,1,0.9326404929161072
95,1,1,0.21299809217453003
96,1,1,0.27438873052597046
97,1,1,0.6687033772468567
98,1,1,0.5630584955215454
99,1,1,0.7130127549171448
100,0,1,0.15929587185382843
101,1,1,0.156308114528656
102,1,1,0.6315916180610657
103,1,1,0.3725242614746094
104,0,0,0.05590212717652321
105,0,1,0.17853693664073944
106,1,1,0.547562837600708
107,1,1,0.41607922315597534
108,1,1,0.45628949999809265
109,1,1,0.9483402371406555
110,0,1,0.4347648620605469
111,1,1,0.19139331579208374
112,0,0,0.18064168095588684
113,0,1,0.40912458300590515
114,1,1,0.9017506837844849
115,1,1,0.4641331136226654
116,1,1,0.939116358757019
117,1,1,0.1474759578704834
118,1,1,0.44356653094291687
119,0,0,0.32806700468063354
120,1,1,0.9431268572807312
121,1,1,0.6345250010490417
122,1,1,0.3576965630054474
123,1,1,0.17331252992153168
124,1,1,0.7248910665512085
125,1,1,0.16096164286136627
126,1,1,0.4365905821323395
127,1,1,0.9515172839164734
128,1,1,0.49426138401031494
129,1,1,0.4039238393306732
130,0,0,0.09066934883594513
131,1,1,0.5017158389091492
132,1,1,0.9943333864212036
133,0,1,0.15588730573654175
134,1,1,0.2219453901052475
135,1,1,0.02513677440583706
136,1,1,0.4455329179763794
137,1,1,0.2618376314640045
138,0,0,0.095821812748909
139,1,1,0.6759135127067566
140,1,1,0.7657926678657532
141,1,1,0.9600878357887268
142,1,1,0.07228419184684753
143,1,1,0.8517476320266724
144,1,1,0.84339439868927
145,1,1,0.1418713480234146
146,0,1,0.12795530259609222
147,1,1,0.5966633558273315
148,0,0,0.28776559233665466
149,1,1,0.6290414333343506
150,0,1,0.35801175236701965
151,1,1,0.08071336150169373
152,0,0,0.04521457105875015
153,0,1,0.5600593090057373
154,0,0,0.03967678174376488
155,1,1,0.5768819451332092
156,1,1,0.8622212409973145
157,0,1,0.22801397740840912
158,1,1,0.456350713968277
159,1,1,0.7947568297386169
160,1,1,0.5195238590240479
161,1,1,0.6818482875823975
162,1,1,0.780659556388855
163,1,1,0.833995521068573
164,1,1,0.5362617373466492
165,1,1,0.0971999242901802
166,1,1,0.6506624221801758
167,1,1,0.056065332144498825
168,1,1,0.7547104954719543
169,1,1,0.09774558246135712
170,1,1,0.1181907206773758
171,1,1,0.1614147126674652
172,1,1,0.9131272435188293
173,1,1,0.5667173266410828
174,1,1,0.2326154261827469
175,1,1,0.31052136421203613
176,1,1,0.2490704506635666
177,1,1,0.09626325219869614
178,1,1,0.8802449107170105
179,1,1,0.5165452361106873
180,1,1,0.9637503027915955
181,1,1,0.17723074555397034
182,0,1,0.3144006133079529
183,0,1,0.14803621172904968
184,1,1,0.4305618107318878
185,1,1,0.7566335201263428
186,1,1,0.42585185170173645
187,0,0,0.041159529238939285
188,1,1,0.7847260236740112
189,1,1,0.3272937834262848
190,1,1,0.40615832805633545
191,1,1,0.5340486168861389
192,1,1,0.047578465193510056
193,0,0,0.17907515168190002
194,1,1,0.7243388295173645
195,1,1,0.11351349204778671
196,1,1,0.6391621828079224
197,1,1,0.13791295886039734
198,0,1,0.16147452592849731
199,1,1,0.06846605986356735
200,1,1,0.25521761178970337
201,0,1,0.5392833948135376
202,1,1,0.1612870842218399
203,1,1,0.4407929480075836
204,1,1,0.6243335008621216
205,1,1,0.617526650428772
206,1,1,0.44161367416381836
207,1,1,0.3318287432193756
208,1,1,0.9105156660079956
209,1,1,0.24948963522911072
210,1,1,0.15853525698184967
211,1,1,0.49246641993522644
212,1,1,0.5152345299720764
213,1,1,0.8422572016716003
214,0,0,0.13381828367710114
215,1,1,0.24222001433372498
216,1,1,0.44835394620895386
217,1,1,0.44868916273117065
218,0,1,0.09926317632198334
219,1,1,0.057562027126550674
220,1,1,0.23664411902427673
221,1,1,0.46835222840309143
222,1,1,0.909481406211853
223,0,1,0.20099343359470367
224,1,1,0.51308274269104
225,1,1,0.9656314849853516
226,1,1,0.7802394032478333
227,0,0,0.11801454424858093
228,1,1,0.554876446723938
229,0,1,0.07507836818695068
230,1,1,0.5851222276687622
231,1,1,0.795803427696228
232,0,1,0.23095718026161194
233,1,1,0.2294757217168808
234,1,1,0.4047011435031891
235,1,1,0.5239162445068359
236,1,1,0.9304017424583435
237,0,1,0.17444263398647308
238,1,1,0.06277082860469818
239,1,1,0.8159499764442444
240,0,1,0.11620548367500305
241,1,1,0.9706893563270569
242,0,1,0.05431715026497841
243,0,1,0.22185367345809937
244,1,1,0.6188812255859375
245,0,1,0.4436909854412079
246,1,1,0.8808625340461731
247,0,1,0.22644656896591187
248,1,1,0.41233012080192566
249,0,1,0.09132734686136246
250,1,1,0.5578504800796509
251,1,1,0.09124913066625595
252,1,1,0.23207537829875946
253,1,1,0.2915658950805664
254,1,1,0.37899497151374817
255,1,1,0.9776291847229004
256,1,1,0.6116932034492493
257,1,1,0.10943154245615005
258,0,1,0.23341436684131622
259,0,1,0.1458747237920761
260,1,1,0.32627928256988525
261,0,1,0.2586595416069031
262,1,1,0.7891577482223511
263,0,1,0.1130485087633133
264,1,1,0.516794741153717
265,0,1,0.10752174258232117
266,1,1,0.4070909917354584
267,0,0,0.0675690695643425
268,0,1,0.6481819152832031
269,0,1,0.07089320570230484
270,0,0,0.06534498184919357
271,1,1,0.4566664397716522
272,1,1,0.4114166498184204
273,1,1,0.6339103579521179
274,0,1,0.5270246863365173
275,1,1,0.7192001938819885
276,0,1,0.16347892582416534
277,1,1,0.3000921607017517
278,1,1,0.26526421308517456
279,1,1,0.16715458035469055
280,1,1,0.316349595785141
281,1,1,0.5833465456962585
282,1,1,0.9750246405601501
283,0,0,0.1833389848470688
284,1,1,0.8910965323448181
285,1,1,0.5840683579444885
286,1,1,0.6927758455276489
287,1,1,0.546043336391449
288,1,1,0.11968003213405609
289,1,1,0.6558486819267273
290,1,1,0.7076457142829895
291,1,1,0.34671130776405334
292,1,1,0.4507667124271393
293,1,1,0.40201517939567566
294,0,1,0.03754512593150139
295,1,1,0.23689672350883484
296,1,1,0.7369908094406128
297,0,0,0.1185166984796524
298,1,1,0.5898357033729553
299,1,1,0.31821373105049133
300,1,1,0.484651118516922
301,0,1,0.142618328332901
302,1,1,0.3069601058959961
303,1,1,0.9167861342430115
304,1,1,0.11840605735778809
305,1,1,0.8728877902030945
306,1,1,0.4069216549396515
307,0,1,0.46133163571357727
308,1,1,0.16964088380336761
309,1,1,0.19101035594940186
310,1,1,0.5822638869285583
311,0,0,0.03539170324802399
312,0,1,0.12154761701822281
