,Sample,Clean class,Adversarial class,Success,Iterations,Confidence 1,Confidence 2,Confidence 3,Confidence 4,Confidence 5
0,0,305,302,1,2,0.4054480791091919,0.40518370270729065,0.05265429615974426,0.020289676263928413,0.019358133897185326
1,2,243,242,1,3,0.463971883058548,0.4637506902217865,0.0077146925032138824,0.007259461097419262,0.0026677350979298353
2,3,559,484,1,4,0.3073604702949524,0.30709969997406006,0.11315860599279404,0.03142642602324486,0.02099914848804474
3,4,438,470,1,3,0.11292042583227158,0.11277654021978378,0.018428023904561996,0.01421122346073389,0.014087162911891937
4,5,990,74,1,2,0.19253593683242798,0.19124969840049744,0.04091382399201393,0.02852868288755417,0.022305024787783623
5,6,949,957,1,2,0.3034985661506653,0.3025466501712799,0.09451360255479813,0.028216185048222542,0.02684573270380497
6,10,582,454,1,3,0.4282044768333435,0.4279003441333771,0.06260401010513306,0.03612205386161804,0.014472216367721558
7,11,915,449,1,5,0.16188360750675201,0.16180990636348724,0.03658991679549217,0.02466544136404991,0.021939512342214584
8,12,455,539,1,3,0.23067350685596466,0.23048396408557892,0.08915937691926956,0.08558598905801773,0.05045618489384651
9,14,961,964,1,2,0.31614670157432556,0.31585830450057983,0.1798664778470993,0.010300797410309315,0.008230545558035374
10,15,541,424,1,2,0.11909911781549454,0.11895013600587845,0.10408095270395279,0.044292233884334564,0.020785462111234665
11,16,630,836,1,3,0.1847943216562271,0.1845831423997879,0.0972912535071373,0.04545081406831741,0.03955183923244476
12,17,741,887,1,2,0.4434312880039215,0.4393678903579712,0.025942638516426086,0.02365056797862053,0.00483857374638319
13,19,455,622,1,3,0.1839888095855713,0.18384778499603271,0.036486633121967316,0.031028902158141136,0.02795441634953022
14,21,854,598,1,2,0.23147358000278473,0.231256902217865,0.06465312838554382,0.043975550681352615,0.02782500348985195
15,22,922,921,1,4,0.3774349093437195,0.3772895038127899,0.03752148151397705,0.031059060245752335,0.025088561698794365
16,24,129,127,1,3,0.2609317898750305,0.26076748967170715,0.053456541150808334,0.041616592556238174,0.029906990006566048
17,25,537,693,1,1,0.19299174845218658,0.12224932014942169,0.0697820857167244,0.04904850199818611,0.04829300567507744
18,26,672,645,1,3,0.16114868223667145,0.16103768348693848,0.06904976814985275,0.040770888328552246,0.0276836846023798
19,27,476,564,1,3,0.4797113537788391,0.4784608483314514,0.013150429353117943,0.003405967028811574,0.0028960907366126776
20,28,299,298,1,4,0.4772012531757355,0.4771416485309601,0.015538176521658897,0.0026274980045855045,0.0019038234604522586
21,29,99,23,1,3,0.30797895789146423,0.3075733184814453,0.05616343393921852,0.020514804869890213,0.01951643079519272
22,31,251,290,1,3,0.38866913318634033,0.38833457231521606,0.041942350566387177,0.03453023359179497,0.02467566542327404
23,32,520,532,1,4,0.3700255751609802,0.3698442280292511,0.021925725042819977,0.018891911953687668,0.013996276073157787
24,33,923,959,1,2,0.3432592451572418,0.3429042398929596,0.0493488572537899,0.0448918454349041,0.03199981153011322
25,34,22,21,1,2,0.25459834933280945,0.2544337809085846,0.15255992114543915,0.10892760008573532,0.08823707699775696
26,36,760,922,1,3,0.21172119677066803,0.2115258276462555,0.12138829380273819,0.07365349680185318,0.03940865397453308
27,37,582,509,1,2,0.380878210067749,0.3804186284542084,0.019129076972603798,0.015011077746748924,0.011039569042623043
28,39,692,917,1,3,0.31622961163520813,0.31596794724464417,0.06128280237317085,0.023375552147626877,0.013495846651494503
29,40,525,460,1,2,0.4158261716365814,0.41561445593833923,0.021285923197865486,0.014884981326758862,0.013892057351768017
30,41,931,929,1,2,0.13906654715538025,0.1384984254837036,0.04176647961139679,0.04055728018283844,0.03771772235631943
31,42,317,74,1,3,0.19260236620903015,0.1924680471420288,0.14161857962608337,0.06516548991203308,0.04099986329674721
32,43,464,816,1,3,0.24184565246105194,0.2416808009147644,0.03932866081595421,0.03883950784802437,0.031868066638708115
33,44,478,519,1,2,0.4679315984249115,0.46617400646209717,0.005709809251129627,0.004334458149969578,0.0019733805675059557
34,45,667,614,1,2,0.15432414412498474,0.15407444536685944,0.08316517621278763,0.04182710871100426,0.029950886964797974
35,46,961,722,1,3,0.3958071768283844,0.3955502212047577,0.015434125438332558,0.014859595336019993,0.014615572988986969
36,47,865,788,1,2,0.2969205677509308,0.2964268624782562,0.06355789303779602,0.0570194311439991,0.02841193415224552
37,50,33,34,1,2,0.4430869519710541,0.4427355229854584,0.03978337347507477,0.038095731288194656,0.009501289576292038
38,51,922,921,1,3,0.44014471769332886,0.43963879346847534,0.05499912425875664,0.014764747582376003,0.007283695042133331
39,52,142,141,1,2,0.4928590655326843,0.4923587441444397,0.00958485808223486,0.0014872107421979308,0.0009246797417290509
40,53,312,325,1,2,0.22618471086025238,0.2257172167301178,0.13274343311786652,0.11775225400924683,0.026011452078819275
41,54,302,305,1,2,0.41386863589286804,0.4120185077190399,0.025385793298482895,0.012255688197910786,0.006888623349368572
42,57,360,356,1,2,0.2752538323402405,0.2750697433948517,0.04128764197230339,0.034030016511678696,0.01766926981508732
43,58,789,918,1,3,0.33060890436172485,0.33021169900894165,0.011628640815615654,0.006092434283345938,0.0044996715150773525
